#{"t_start": 1568062704.9743965, "env_id": null}
r,l,t
-5045.494242,1001,6.022652
-5934.149324,1001,11.262112
-5864.352499,1001,16.4593
-2829.957797,1001,21.680851
-5432.520791,1001,26.908156
-3802.813092,1001,31.956442
-4026.099419,1001,37.203487
-3623.844755,1001,42.32132
-6077.850463,1001,47.357032
-2586.69043,1001,52.636187
-4294.014987,1001,57.919386
-2408.888467,1001,63.008218
-3875.302625,1001,68.065758
-3918.852467,1001,73.123255
-4937.550434,1001,78.485684
-4748.112364,1001,83.596798
-4168.229978,1001,88.74231
-3402.867024,1001,94.095629
-2403.063995,1001,99.400155
-3835.71153,1001,104.740536
-4215.436552,1001,110.082926
-2557.722946,1001,115.272467
-2014.472329,1001,120.345293
-3036.688631,1001,125.578418
-3339.974292,1001,130.83016
-2685.543337,1001,136.049141
-2211.329209,1001,141.325853
-2355.63698,1001,146.481506
-4284.214651,1001,151.765383
-2076.579018,1001,156.90071
-2507.032229,1001,162.130375
-6222.544539,1001,167.425008
-2123.985907,1001,172.492402
-5830.4041,1001,177.704086
-6985.93344,1001,182.858672
-3861.624306,1001,188.144954
-4309.815825,1001,193.298613
-2660.436795,1001,198.526914
-3333.597362,1001,203.586147
-2952.443665,1001,208.698955
-5729.419594,1001,213.986989
-2300.051187,1001,219.098864
-2651.822216,1001,224.418839
-7459.455042,1001,229.668081
-4535.060878,1001,234.815533
-3645.867398,1001,239.977748
-3805.092624,1001,245.045578
-5102.702777,1001,250.233388
-6803.568898,1001,255.3427
-3081.805038,1001,260.65162
-2500.959865,1001,265.977098
-5399.898338,1001,271.198311
-6438.802062,1001,276.290456
-4356.842039,1001,281.497211
-2226.679234,1001,286.714923
-7014.472501,1001,291.993465
-4779.07416,1001,297.223556
-6539.059644,1001,302.584416
-6065.182088,1001,307.79379
-7555.51129,1001,312.878373
-6093.950049,1001,318.318018
-3660.331137,1001,323.559828
-6898.94157,1001,328.66256
-5669.19771,1001,333.737162
-2902.814135,1001,339.179874
-5720.304852,1001,344.480114
-3734.049743,1001,349.885337
-3249.441335,1001,355.200021
-5438.946837,1001,360.434345
-3519.409356,1001,365.560624
-2035.811949,1001,370.863367
-7738.173101,1001,375.974723
-3716.622151,1001,381.1689
-9108.582254,1001,386.390389
-1954.897815,1001,391.596003
-5483.199725,1001,396.799312
-2705.405394,1001,401.937768
-8362.301357,1001,407.134703
-5241.599898,1001,412.288353
-2908.199857,1001,417.508753
-8214.880033,1001,422.661849
-2575.349278,1001,427.869432
-3268.748327,1001,433.230274
-1904.425989,1001,438.507556
-3290.945601,1001,443.726803
-1338.731355,1001,448.989934
-6971.631087,1001,454.158213
-3651.186874,1001,459.398983
-3353.403066,1001,464.56578
-1806.492078,1001,469.688818
-5733.01934,1001,474.800038
-2528.294131,1001,479.809617
-3212.069034,1001,485.191961
-2905.802118,1001,490.526525
-2631.272682,1001,495.752846
-3408.827344,1001,500.917826
-3775.986657,1001,506.366561
-3132.883477,1001,511.601029
-2698.874778,1001,516.708861
-5067.013168,1001,522.001285
-4093.9159,1001,527.2901
-4779.48244,1001,532.534342
-4399.054468,1001,537.822618
-3472.599742,1001,543.031408
-2456.578678,1001,548.428278
-2221.424788,1001,553.909877
-1996.233353,1001,559.046931
-2640.631057,1001,564.176637
-1762.919141,1001,569.508634
-1669.554292,1001,574.919575
-1268.364603,1001,580.299786
-2364.001754,1001,585.597914
-1799.634874,1001,590.791873
-1308.212832,1001,595.846943
-2289.380731,1001,601.1508
-2136.085599,1001,606.329301
-1663.521159,1001,611.553071
