Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
144000,1.3565031,0.00025725018,0.70634174,4.876833212375641,4.876833224327614,1000.0,0.010844488,0.019443328
147000,1.3540497,0.00025635018,0.74120516,5.1453331232070925,5.145333218326171,1000.0,0.010623425,0.017392186
150000,1.3527894,0.00025545017,0.8082726,5.274333167076111,5.274333215442796,1000.0,0.010305865,0.018383753
153000,1.3504773,0.0002545502,0.81253797,5.47716652750969,5.4771665442424515,1000.0,0.01118988,0.016789705
156000,1.3490566,0.00025365016,0.88080156,5.7663331468900045,5.76633320444574,1000.0,0.012169224,0.0186466
159000,1.3468488,0.00025275018,0.89864546,6.068833120663961,6.068833197684338,1000.0,0.012086102,0.016995195
162000,1.3441594,0.00025185017,0.9489513,6.615999801953634,6.6159998521208765,1000.0,0.013908028,0.01624154
165000,1.3428777,0.00025095016,1.0179088,7.0044997056325276,7.004499843437225,1000.0,0.012954777,0.017082438
168000,1.3417977,0.0002500502,1.035856,6.700666447480519,6.700666516895096,1000.0,0.012842383,0.01933313
171000,1.3407108,0.00024915018,1.1196883,7.425166336695353,7.425166500701258,1000.0,0.0141485,0.018186323
174000,1.339244,0.00024825017,1.1299561,7.797499672571818,7.797499825712293,1000.0,0.014195202,0.01467258
177000,1.3375083,0.00024735017,1.2206916,7.9681663910547895,7.968166488564263,1000.0,0.015471049,0.018178686
180000,1.3356594,0.0002464502,1.2422359,7.648333048820495,7.648333162379761,1000.0,0.013948241,0.017147353
183000,1.333495,0.00024555018,1.2967513,8.062166380882264,8.0621664864632,1000.0,0.014485337,0.015035797
186000,1.3313522,0.00024465017,1.3948854,9.21649960676829,9.216499793995172,1000.0,0.015833426,0.016009847
189000,1.3288777,0.0002437502,1.404837,8.717666260401408,8.717666471811633,1000.0,0.014645128,0.021189284
192000,1.3281683,0.00024285019,1.43093,8.811499683062236,8.811499803047628,1000.0,0.013972255,0.016129313
195000,1.3265917,0.0002419502,1.5163532,9.831832869847615,9.831833113574733,1000.0,0.015161686,0.017131858
198000,1.3240315,0.0002410502,1.5738788,10.19199944337209,10.191999772191048,1000.0,0.015292386,0.017111965
201000,1.3207601,0.0002401502,1.6362655,10.223832933108012,10.22383310481285,1000.0,0.015716745,0.018523542
204000,1.3187239,0.00023925018,1.6540655,10.056999524434408,10.056999775208533,1000.0,0.015852679,0.016084967
207000,1.3164856,0.0002383502,1.7120292,9.97666617234548,9.976666443670789,1000.0,0.015342868,0.018399745
210000,1.3147744,0.00023745021,1.7425808,10.456666096051533,10.456666432941953,1000.0,0.015157447,0.014565703
213000,1.3125468,0.00023655022,1.803434,11.121499403317769,11.121499751415104,1000.0,0.016001666,0.01741196
216000,1.3110181,0.00023565018,1.886015,11.321332621574403,11.321333080281814,1000.0,0.01617392,0.019443886
219000,1.309087,0.00023475019,1.9350704,11.920165952046712,11.92016640023018,1000.0,0.016118877,0.018037941
222000,1.3081661,0.0002338502,1.9731708,12.026999282836915,12.026999731175602,1000.0,0.016381757,0.0168611
225000,1.3066018,0.00023295019,2.0521104,11.967499232292175,11.96749973250553,1000.0,0.01762854,0.01796694
