Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
1000,1.4189383,0.00029700302,0.025159204,1.1535713956469582,1.1535714606621437,22.511904761904763
2000,1.4214829,0.00029100303,0.00023417115,1.206199970960617,1.2062000328749418,23.062
3000,1.4150769,0.000285003,0.07514998,1.6174527555704117,1.6174528691917658,27.17452830188679
4000,1.3997661,0.00027900303,0.25398576,2.3002941036925595,2.3002941668252737,34.002941176470586
5000,1.3869656,0.00027300304,0.47091115,3.4861661878970303,3.4861660747542214,45.86166007905138
6000,1.3753572,0.00026700302,0.77976954,6.096622193181837,6.0966217273695245,71.96621621621621
7000,1.3658245,0.000261003,1.0933286,12.327712716826474,12.327711041971861,134.27710843373495
8000,1.3599707,0.00025500305,1.4821409,24.4333374775373,24.43333371155537,254.76923076923077
9000,1.3550509,0.00024900303,1.9207532,58.800009054296154,58.80000088845982,597.0588235294117
10000,1.347267,0.00024300304,2.402635,62.63530433879179,62.63529506150414,634.1176470588235
11000,1.3402925,0.00023700304,2.88915,82.21334568659465,82.2133345623811,825.0666666666667
12000,1.3367019,0.00023100304,3.3098962,87.58572769165039,87.58571559403624,878.2142857142857
13000,1.3358238,0.00022500305,3.609508,90.08462931559636,90.08461672927325,902.5384615384615
14000,1.3374082,0.00021900305,4.0150146,83.32144137791225,83.32142981833645,837.1428571428571
15000,1.334407,0.00021300303,4.4168215,78.65001204609871,78.65000117570162,789.25
16000,1.331024,0.00020700306,4.7584143,90.33847559415378,90.33846288690201,905.0769230769231
17000,1.3250227,0.00020100304,5.0608473,99.65001551310222,99.65000148614247,997.4166666666666
18000,1.3210789,0.00019500304,5.421814,99.80001513163249,99.80000148837765,998.9166666666666
19000,1.3199807,0.00018900307,5.734284,85.24001293182373,85.24000127414863,855.3333333333334
20000,1.3201934,0.00018300307,5.912175,76.56251129508018,76.56250114645809,769.75
21000,1.3193957,0.00017700305,6.339514,100.00001525878906,100.00000149011612,1000.0
22000,1.3182584,0.00017100308,6.6180706,100.00001525878906,100.00000149011612,1000.0
23000,1.3190207,0.00016500306,6.869304,100.00001525878906,100.00000149011612,1000.0
24000,1.3194937,0.00015900306,7.064283,100.00001525878906,100.00000149011612,1000.0
25000,1.3185374,0.00015300307,7.312941,99.81668217976888,99.81666815529267,999.0833333333334
26000,1.3193899,0.00014700307,7.461627,92.66155257591835,92.66153984344922,927.4615384615385
27000,1.3193432,0.00014100307,7.7870154,100.00001525878906,100.00000149011612,1000.0
28000,1.3184718,0.00013500307,8.046693,92.05834770202637,92.05833470759292,922.4166666666666
