#{"t_start": 1568543162.0190415, "env_id": null}
r,l,t
-9209.89799,1001,18.437277
-7547.154723,1001,33.509388
-10492.146356,1001,48.488707
-7999.154288,1001,63.494673
-10671.043335,1001,78.634439
-4756.826297,1001,93.497867
-5008.15828,1001,108.379034
-3604.847143,1001,123.533786
-2469.169917,1001,138.476829
-619.372811,1001,153.507421
-3234.469014,1001,168.540042
-2684.250837,1001,183.554482
-772.161367,1001,198.43102
-843.115392,1001,213.107298
-3824.906901,1001,227.970124
-642.10389,1001,243.25181
-2458.160083,1001,258.539059
-698.595953,1001,273.650962
-519.795965,1001,288.932145
-739.599147,1001,303.828432
-1010.651641,1001,319.316004
-890.221317,1001,334.733658
-627.840233,1001,349.479084
-520.550891,1001,364.935326
-834.960955,1001,380.129315
-1578.792521,1001,395.638942
-1365.050122,1001,410.539288
-382.30369,1001,425.668826
-985.157956,1001,440.903164
-371.72927,1001,455.880378
-462.782785,1001,470.777081
-745.102478,1001,486.100598
-875.813665,1001,501.0418
-575.216736,1001,516.022692
-545.126979,1001,530.923032
-846.171679,1001,546.308969
-570.597214,1001,561.375008
-713.487029,1001,576.266702
-665.309502,1001,591.425256
-382.417319,1001,606.412294
-722.3831,1001,621.454955
-455.250673,1001,636.640236
-568.37768,1001,651.726815
-644.224413,1001,666.978845
-305.521086,1001,682.019405
-284.339721,1001,697.422204
-630.974048,1001,712.407801
-622.729721,1001,727.85159
-495.360974,1001,742.739059
-219.157179,1001,757.924722
-361.337615,1001,771.902671
-376.53856,1001,784.906791
-292.823884,1001,797.842381
-391.107577,1001,811.124504
-248.286967,1001,824.255514
-486.844361,1001,837.465958
-308.912024,1001,850.475081
-284.017007,1001,863.47098
-1133.64315,1001,876.610017
-592.120109,1001,889.479706
-995.457019,1001,902.283143
-822.897289,1001,915.471982
-335.306989,1001,928.909412
-696.235985,1001,941.94691
-673.917547,1001,954.993164
-230.313769,1001,968.198763
-539.798841,1001,981.279717
-342.963766,1001,994.151647
-409.872907,1001,1007.349803
-216.94238,1001,1020.609421
-886.824049,1001,1033.476773
-407.781334,1001,1046.598887
-296.150665,1001,1059.647211
-493.043289,1001,1072.978632
-236.060022,1001,1085.947168
-345.382804,1001,1098.977978
-497.813111,1001,1112.315133
-230.547182,1001,1125.583371
-473.523794,1001,1138.69877
-506.870507,1001,1151.87844
-555.266499,1001,1165.180511
-639.549202,1001,1178.285617
-491.575566,1001,1191.206436
-711.082374,1001,1204.038136
-247.160158,1001,1217.053251
-268.24363,1001,1230.164853
-618.652214,1001,1243.595493
-392.74785,1001,1256.557063
-156.953989,1001,1269.850136
-295.447555,1001,1282.844718
-225.253225,1001,1295.966639
-252.654426,1001,1309.199779
-335.461699,1001,1322.222892
-214.299519,1001,1335.494232
-410.209742,1001,1348.541246
-211.726861,1001,1361.396072
-255.353486,1001,1374.411596
-236.954432,1001,1387.868539
-586.740488,1001,1400.849476
-408.411699,1001,1413.65855
-425.823419,1001,1426.885695
-443.672027,1001,1439.864113
-498.435802,1001,1453.218815
-535.988423,1001,1466.312402
-575.807501,1001,1479.512891
-295.929121,1001,1492.195269
-248.619641,1001,1505.052001
-198.365346,1001,1518.302573
