#{"t_start": 1568142670.7943912, "env_id": null}
r,l,t
-1806.641135,1001,5.719156
-2510.30425,1001,10.653012
-919.256602,1001,15.784384
-1304.92593,1001,20.726405
-814.377797,1001,25.693211
-589.45667,1001,30.768271
-872.023952,1001,36.001091
-1083.42131,1001,41.285785
-592.726907,1001,46.265043
-765.709967,1001,51.441255
-908.735765,1001,56.537535
-704.770725,1001,61.749817
-772.323169,1001,66.934578
-871.376383,1001,72.068135
-943.132427,1001,77.123651
-825.880623,1001,82.405945
-692.819292,1001,87.533676
-999.100479,1001,92.712251
-924.950509,1001,97.937857
-624.766043,1001,103.19808
-772.401045,1001,108.384699
-1192.400585,1001,113.442483
-682.108832,1001,118.75543
-1072.676546,1001,124.300521
-755.107345,1001,129.284373
-1079.726549,1001,134.631514
-740.886581,1001,139.770161
-1096.310469,1001,144.762413
-819.54834,1001,149.852053
-1133.761028,1001,155.086691
-702.74848,1001,160.308712
-1102.641756,1001,165.894412
-553.882586,1001,170.984442
-702.118387,1001,175.833329
-844.229348,1001,180.971815
-635.739209,1001,186.437722
-1097.020145,1001,191.611268
-730.473976,1001,196.792538
-630.171724,1001,202.076664
-745.61957,1001,207.092813
-717.728203,1001,212.356637
-704.58049,1001,217.400781
-743.903271,1001,222.677396
-674.568463,1001,227.908508
-864.020916,1001,232.985803
-785.379695,1001,238.368566
-798.917418,1001,243.656199
-1121.930267,1001,248.577472
-724.950657,1001,253.708199
-808.667878,1001,259.126456
-624.141342,1001,264.492595
-557.927567,1001,269.839337
-637.496497,1001,274.854082
-637.191657,1001,279.959644
-566.390147,1001,285.036485
-571.739625,1001,290.201317
-984.376585,1001,295.249239
-560.574023,1001,300.373154
-781.897965,1001,305.626509
-701.159005,1001,310.811757
-677.557866,1001,316.040463
-520.688202,1001,321.197062
-752.492357,1001,326.282246
-904.050973,1001,331.576914
-672.535103,1001,336.586581
-667.505237,1001,341.665194
-737.878689,1001,346.728448
-672.744692,1001,351.695698
-726.593309,1001,356.960822
-741.464043,1001,362.054045
-920.772903,1001,367.121263
-493.571785,1001,372.127442
-733.956101,1001,377.281388
-929.513422,1001,382.505867
-1184.219485,1001,387.564693
-1704.066439,1001,392.477339
-740.516444,1001,397.593106
-796.807735,1001,402.633614
-694.443724,1001,407.617758
-1196.918928,1001,412.801967
-577.708193,1001,418.11078
-835.411422,1001,423.57304
-693.910755,1001,428.97974
-775.042874,1001,433.891248
-980.389612,1001,439.119424
-933.340985,1001,444.347638
-854.025974,1001,449.518441
-518.00647,1001,454.587117
-688.096718,1001,459.511984
-743.198242,1001,464.449281
-764.201091,1001,469.46629
-747.759171,1001,474.486037
-687.092623,1001,479.460873
-695.205981,1001,484.554519
-810.86186,1001,489.789734
-1231.07457,1001,494.728994
-869.271594,1001,499.856025
-438.226044,1001,505.030144
-671.132382,1001,510.281596
-780.053465,1001,515.521484
-675.54137,1001,520.930065
-813.731387,1001,526.02782
-806.443329,1001,531.119812
-691.588786,1001,536.173964
-560.362394,1001,541.427305
-887.938224,1001,546.470983
-823.668762,1001,551.601466
-743.057072,1001,556.938328
-697.437255,1001,562.061005
-721.209794,1001,567.349118
-547.050599,1001,572.68841
-893.967196,1001,577.652691
-923.292858,1001,582.553929
-780.28787,1001,587.569522
-942.620377,1001,592.821688
-467.990805,1001,597.873203
-376.847507,1001,603.02788
-807.934171,1001,608.088359
-850.658713,1001,613.346701
-839.018092,1001,618.271783
-675.566254,1001,623.237728
-790.850279,1001,628.383953
-712.139737,1001,633.362813
-724.328177,1001,638.383472
-742.447335,1001,643.429074
-374.863946,1001,648.485692
-691.368499,1001,653.630194
-695.766979,1001,658.786094
-703.271394,1001,663.652168
-1110.951356,1001,669.048789
-602.320602,1001,674.103883
-503.897195,1001,679.53216
-994.274035,1001,684.630866
-553.877479,1001,689.767788
-502.480137,1001,694.824065
-704.511622,1001,700.020903
-805.659418,1001,705.035988
-778.304672,1001,710.072119
-595.410792,1001,715.486788
-450.918665,1001,720.619626
-578.405588,1001,726.161291
-648.117955,1001,731.498407
-1000.63857,1001,736.833503
-614.906828,1001,742.459241
-1112.122151,1001,747.980289
-807.126106,1001,753.258362
-369.732007,1001,758.566909
-553.347837,1001,763.994052
-384.331501,1001,769.43265
-554.291148,1001,774.628949
-378.711695,1001,779.956724
-665.231453,1001,785.145882
-541.745856,1001,790.391711
-543.372876,1001,795.547256
-368.296808,1001,800.977391
-335.398651,1001,806.347115
-504.592032,1001,812.153006
-372.145757,1001,817.335629
-387.75066,1001,822.689976
-406.075922,1001,827.899909
-855.690218,1001,833.488508
-631.301783,1001,838.943519
-380.217808,1001,844.464334
-818.911997,1001,849.752157
-399.684313,1001,854.920373
-411.971455,1001,860.085031
