#{"t_start": 1568148784.981601, "env_id": null}
r,l,t
-1991.238304,1001,4.198907
-1219.779457,1001,8.254566
-1863.206049,1001,12.307709
-1355.443219,1001,16.39007
-1776.47644,1001,20.210245
-2048.54949,1001,24.31203
-922.403011,1001,28.222436
-577.888271,1001,32.279315
-743.299473,1001,36.254518
-1746.657798,1001,40.387137
-181.964952,1001,44.279897
-1192.578369,1001,48.246654
-1597.857903,1001,52.376687
-526.507851,1001,56.520654
-721.301078,1001,60.439231
-306.602108,1001,64.211023
-787.943416,1001,68.08808
-812.105889,1001,71.995822
-1082.101019,1001,75.681359
-738.470415,1001,79.537242
-1146.656878,1001,83.35392
-613.528779,1001,87.679132
-1230.158221,1001,91.455483
-727.716461,1001,95.274228
-339.176874,1001,99.36838
-898.920186,1001,103.248929
-1600.555618,1001,107.237935
-1048.778954,1001,111.231113
-1101.757645,1001,114.987242
-2356.683775,1001,118.856727
-373.452099,1001,122.674189
-902.597087,1001,126.400878
-787.367634,1001,130.250815
-1082.293465,1001,134.163366
-424.201245,1001,138.060774
-238.238056,1001,141.858898
-797.02673,1001,145.964084
-379.914799,1001,149.670822
-550.939833,1001,153.39519
-842.584298,1001,157.187985
-512.573764,1001,161.115742
-517.596638,1001,164.775313
-340.20942,1001,168.473079
-563.025708,1001,172.357085
-364.549086,1001,176.170738
-805.965614,1001,179.892666
-1800.858885,1001,184.048805
-1131.025516,1001,187.752118
-545.133034,1001,191.754903
-951.390289,1001,196.085744
-1065.671094,1001,199.998102
-1148.574791,1001,204.050335
-297.950062,1001,207.964747
-738.230128,1001,211.904108
-859.51601,1001,215.7591
-153.952576,1001,219.64739
-679.302528,1001,223.445176
-186.587935,1001,227.314975
-224.20964,1001,231.045666
-1177.230452,1001,234.984964
-555.842822,1001,238.6872
-963.608209,1001,242.456641
-220.756151,1001,246.324424
-337.025179,1001,250.231322
-107.369423,1001,254.123258
-214.885225,1001,257.951144
-272.426268,1001,261.713068
-326.54239,1001,265.569539
-1092.048679,1001,269.66427
-527.378907,1001,273.488703
-331.276993,1001,277.260338
-861.73162,1001,280.99086
-1244.069625,1001,284.755163
-1625.263514,1001,288.553144
-784.30872,1001,292.715466
-485.893795,1001,296.441974
-482.456408,1001,300.286159
-467.280043,1001,304.071309
-286.623566,1001,308.004814
-151.328156,1001,312.084057
-260.379967,1001,316.055156
-453.381405,1001,320.011376
-338.359273,1001,323.893081
-151.265644,1001,327.828814
-955.808403,1001,332.133945
-331.747168,1001,336.289352
-226.231002,1001,340.225416
-843.325805,1001,344.377956
-182.518206,1001,348.480876
-752.386872,1001,352.429711
-334.460461,1001,356.239743
-860.071799,1001,360.210529
-286.400751,1001,364.111755
-1280.749652,1001,368.238755
-780.210714,1001,372.092767
-824.356839,1001,375.985681
-957.452296,1001,380.056236
-586.734811,1001,384.037147
-778.876655,1001,388.05976
-657.283783,1001,391.861584
-152.474053,1001,395.841543
-1086.294621,1001,399.864917
-707.325381,1001,404.070885
-533.546682,1001,408.011047
-127.434005,1001,412.267623
-738.151682,1001,416.355583
-276.657027,1001,420.243607
-1137.053299,1001,424.108477
-653.270047,1001,428.133592
-1680.471586,1001,432.111603
-1209.147534,1001,436.020929
-1003.360981,1001,439.816933
-1356.099664,1001,443.805599
-1039.226721,1001,447.88887
-1164.572622,1001,452.002054
-1686.58979,1001,455.711793
-1093.585727,1001,460.190734
-1141.6134,1001,464.079701
-726.70737,1001,468.073958
-503.615225,1001,471.856616
-331.71088,1001,475.657839
-637.064187,1001,479.757836
-863.942799,1001,483.86419
-924.793587,1001,487.953848
-678.862834,1001,491.85785
-1206.697216,1001,495.630766
-1031.205339,1001,499.479325
-95.033099,1001,503.452395
-360.624973,1001,507.631844
-120.157804,1001,511.812197
-1205.523772,1001,515.756244
-960.954106,1001,519.874725
-483.203397,1001,523.755463
-282.223404,1001,527.825974
-133.776018,1001,531.666734
-1204.156204,1001,535.655435
-1155.720836,1001,539.625764
-1003.45801,1001,543.679516
-1301.536634,1001,547.904725
-1723.399046,1001,551.868438
-1074.148369,1001,556.153995
-674.823054,1001,560.290212
-1436.810177,1001,564.521256
-997.211655,1001,568.645325
-561.26429,1001,572.634928
-324.181777,1001,576.714886
-447.288298,1001,580.891326
-455.64463,1001,585.059562
-613.068147,1001,589.06512
-439.467573,1001,592.905322
-410.940521,1001,597.000023
-1068.073369,1001,601.402494
-733.563018,1001,605.888963
-456.617135,1001,609.956534
-404.26346,1001,614.198386
-230.559521,1001,618.057272
-538.31671,1001,621.906635
-105.436303,1001,626.018449
-688.322947,1001,630.556023
-526.376449,1001,635.222665
-514.542973,1001,639.188954
-352.671932,1001,644.101596
-492.501081,1001,648.625306
-200.020564,1001,652.531312
-432.530861,1001,656.473636
-1519.984505,1001,660.526878
-296.123699,1001,664.721829
-438.162923,1001,668.278303
-508.085369,1001,672.165465
-213.589314,1001,676.274473
-730.732752,1001,680.170038
-318.789735,1001,684.373506
-264.020783,1001,688.415254
-233.89465,1001,692.336284
-968.022167,1001,696.094092
-1728.731281,1001,699.968232
-2483.141302,1001,704.181587
-382.764067,1001,708.410223
-242.183168,1001,712.682943
-169.702128,1001,716.338343
-1004.721577,1001,720.314208
-378.150634,1001,724.441977
-265.428319,1001,728.329085
-565.501677,1001,732.18815
-768.611305,1001,736.256381
-624.144294,1001,740.171068
-750.934242,1001,743.96869
-911.751928,1001,747.644917
-540.425993,1001,751.399668
-622.992387,1001,755.096423
-320.36858,1001,758.811676
-225.847229,1001,762.548534
-633.694649,1001,766.266517
-568.639622,1001,770.007544
-334.476594,1001,773.634162
-722.327738,1001,777.298574
-321.777484,1001,780.949331
-233.255111,1001,784.943242
-425.667159,1001,788.618937
-384.604916,1001,792.250696
-399.067589,1001,796.020169
-728.098118,1001,799.616103
-377.431942,1001,803.293399
-299.363205,1001,806.968903
-684.618636,1001,810.655918
-539.792943,1001,814.508221
-403.525851,1001,818.178139
-270.352723,1001,821.876908
-769.09613,1001,825.585192
-625.370055,1001,829.213676
-666.754626,1001,832.862393
-332.844825,1001,836.653801
-672.102089,1001,840.453984
-304.879869,1001,844.122029
-696.619269,1001,847.837978
-492.497789,1001,851.486364
-407.062465,1001,855.205501
-351.819478,1001,859.002514
-538.488204,1001,862.587878
-485.183326,1001,866.356229
-682.803855,1001,870.071573
-566.166973,1001,873.781077
-622.112693,1001,877.395171
-1336.39239,1001,881.136444
-784.218055,1001,884.797681
-605.850832,1001,888.496326
-484.831083,1001,892.218691
-482.76501,1001,895.863605
-629.961441,1001,899.514678
