#{"t_start": 1567635580.6604946, "env_id": null}
r,l,t
-1889.91094,1001,3.210465
-1536.24105,1001,5.551039
-1509.850326,1001,7.902555
-2223.710113,1001,10.330598
-2512.717828,1001,12.758936
-1559.097792,1001,15.227109
-2025.091854,1001,17.602787
-1040.500834,1001,20.00279
-1344.027049,1001,22.585419
-1994.964476,1001,25.017953
-1022.606864,1001,27.46994
-1260.33603,1001,29.855692
-1396.828435,1001,32.336739
-740.607765,1001,34.917933
-909.257453,1001,37.326305
-390.707199,1001,39.749398
-1026.310362,1001,42.123216
-263.782869,1001,44.529806
-594.578993,1001,46.996802
-1197.189916,1001,49.387058
-418.444317,1001,51.804685
-606.887074,1001,54.26764
-534.092707,1001,56.7814
-502.17889,1001,59.28275
-733.921507,1001,61.75305
-493.316579,1001,64.191104
-967.652535,1001,66.552812
-474.292706,1001,68.955853
-643.754442,1001,71.389943
-638.148533,1001,73.922318
-768.438872,1001,76.369389
-486.560049,1001,78.860233
-559.348709,1001,81.346708
-1350.599089,1001,83.891174
-1067.580936,1001,86.476605
-726.823518,1001,89.075032
-800.263401,1001,91.908799
-869.456242,1001,94.330558
-474.112324,1001,96.819488
-352.026942,1001,99.255116
-741.910253,1001,101.723045
-748.718304,1001,104.135906
-578.336614,1001,106.685626
-589.717196,1001,109.186036
-731.321176,1001,111.609213
-610.938851,1001,114.151456
-236.286399,1001,116.551306
-358.103477,1001,119.114681
-683.622108,1001,121.561283
-221.198876,1001,123.995514
-585.692597,1001,126.380407
-641.958841,1001,128.816563
-411.700464,1001,131.241384
-658.610574,1001,133.715649
-693.353758,1001,136.27828
-1001.485517,1001,138.672572
-422.328094,1001,141.051916
-333.63271,1001,143.440613
-499.82226,1001,145.86161
-272.845765,1001,148.252376
-326.111855,1001,150.687457
-432.913009,1001,153.249802
-315.953507,1001,155.717653
-915.748145,1001,158.228775
-212.452077,1001,160.626053
-215.796356,1001,163.009952
-615.885533,1001,165.437186
-251.087214,1001,167.847863
-459.707191,1001,170.219119
-573.042475,1001,172.773081
-284.925839,1001,175.167161
-488.998154,1001,177.567626
-410.682873,1001,179.947167
-559.990842,1001,182.386056
-232.342737,1001,184.840532
-847.671507,1001,187.240405
-1049.665931,1001,189.618315
-712.860497,1001,192.079371
-489.879017,1001,194.537413
-494.283315,1001,196.976662
-625.727334,1001,199.419407
-407.441155,1001,201.838855
-706.867558,1001,204.245546
-370.401562,1001,206.675171
-375.907923,1001,209.127107
-334.725621,1001,211.589612
-736.342364,1001,214.05635
-693.976602,1001,216.48061
-485.202122,1001,218.847862
-582.931016,1001,221.278251
-521.2136,1001,223.68905
-446.991531,1001,226.120356
-586.111728,1001,228.573507
-675.787588,1001,230.945025
-297.162511,1001,233.370771
-647.267704,1001,235.971488
-510.208811,1001,238.510113
-641.398343,1001,240.972019
-222.330152,1001,243.525329
-269.037762,1001,246.05285
-682.513325,1001,248.512983
-244.700431,1001,250.923161
-262.373322,1001,253.383094
-342.97885,1001,256.023996
-367.886568,1001,258.49105
-672.251304,1001,260.936677
-441.422241,1001,263.417918
-583.144409,1001,265.871845
-279.790894,1001,268.336393
-432.198026,1001,270.856952
-431.351934,1001,273.324985
-569.894954,1001,275.702498
-534.137363,1001,278.147846
-262.546056,1001,280.613705
-719.253461,1001,283.045643
-480.186347,1001,285.675225
-459.603457,1001,288.274857
-674.413198,1001,291.053486
-709.39492,1001,293.616335
-426.798177,1001,296.18946
-449.891992,1001,299.035835
-294.138016,1001,301.487762
-307.004015,1001,303.894709
-353.353862,1001,306.458641
-483.688761,1001,308.953201
-540.77684,1001,311.371345
-423.433881,1001,313.820662
-524.461634,1001,316.418727
-649.60479,1001,318.801124
-375.800802,1001,321.352766
-371.02006,1001,323.786424
-313.810359,1001,326.218629
-366.191028,1001,328.683178
-740.076393,1001,331.096256
-373.252263,1001,333.515116
-309.957798,1001,335.968492
-393.919928,1001,338.40718
-404.855141,1001,340.876886
-355.240168,1001,343.382859
-454.171094,1001,345.931046
-360.265585,1001,348.430583
-339.029645,1001,350.850152
-389.12056,1001,353.240502
-372.467201,1001,355.750691
-664.654094,1001,358.263879
-290.017357,1001,360.738029
-390.431982,1001,363.12857
-423.424266,1001,365.718324
-516.949977,1001,368.267164
-693.801811,1001,370.691858
-374.43794,1001,373.093963
-508.54089,1001,375.554374
-635.722096,1001,377.972968
-201.463533,1001,380.430914
-497.739262,1001,382.842564
-338.09334,1001,385.341193
-380.962247,1001,387.86154
-337.832758,1001,390.335516
-428.697118,1001,392.829893
-500.136395,1001,395.266527
-624.154697,1001,397.705697
-362.220811,1001,400.198737
-516.707634,1001,402.701011
-493.490967,1001,405.156681
-303.779997,1001,407.616825
-568.289665,1001,410.037319
-534.448358,1001,412.466948
-321.12623,1001,414.996443
-427.23061,1001,417.422618
-510.684245,1001,419.904725
-378.391158,1001,422.394919
-279.143374,1001,424.873459
-217.822992,1001,427.383781
-246.113764,1001,429.797154
-310.871166,1001,432.315644
-426.96793,1001,434.762841
-353.115941,1001,437.365345
-530.211355,1001,439.813984
-579.931811,1001,442.291747
-496.586875,1001,444.743573
-490.995283,1001,447.153953
