#{"t_start": 1568225030.7445893, "env_id": null}
r,l,t
-2482.517296,1001,6.434721
-510.072142,1001,12.357038
-502.306185,1001,18.112792
-1105.373026,1001,23.615083
-418.486846,1001,29.445572
-283.630966,1001,35.476719
-166.370566,1001,41.026697
-923.343218,1001,46.894865
-661.00979,1001,52.887875
-130.795806,1001,58.370725
-354.3203,1001,63.737782
-698.173547,1001,69.288777
-1275.690854,1001,74.641827
-450.472808,1001,80.013956
-302.788823,1001,85.138887
-363.339282,1001,90.50478
-57.075363,1001,96.130295
-112.883513,1001,101.717907
-385.856562,1001,106.822267
-321.866201,1001,111.807359
-87.562574,1001,116.838478
-134.042954,1001,122.174832
-136.201056,1001,127.247016
-124.046592,1001,132.494831
-76.162672,1001,137.753176
-368.762731,1001,143.006874
-353.50695,1001,148.18909
-38.340813,1001,153.474531
-48.475221,1001,159.102982
-19.456014,1001,164.352441
-71.32088,1001,169.548419
-50.469259,1001,174.826482
-67.589385,1001,180.068595
-30.224751,1001,185.120977
-23.104413,1001,190.278069
-118.962273,1001,195.622656
-168.210618,1001,200.96283
-92.634684,1001,206.128962
-96.742039,1001,211.330474
-74.358183,1001,216.429415
-66.752425,1001,222.349699
-90.702273,1001,227.664575
-67.522873,1001,232.936942
-56.532128,1001,238.180169
-49.675543,1001,243.542185
-44.100411,1001,248.459285
-102.879479,1001,253.754826
-110.37933,1001,259.069508
-53.119973,1001,264.220725
-27.263447,1001,269.314501
-27.346279,1001,274.542753
-29.965273,1001,279.59821
-52.924734,1001,285.001407
-44.293354,1001,290.20148
-22.906896,1001,295.771737
-16.211466,1001,300.934185
-12.771314,1001,306.40628
-94.80416,1001,311.973332
-11.655026,1001,317.433095
-47.272195,1001,323.088725
-17.572504,1001,328.168612
-83.720854,1001,333.647332
-17.734446,1001,339.416278
-148.352286,1001,344.719114
-124.576181,1001,350.135137
-48.137215,1001,355.242779
-60.001409,1001,360.587242
-33.178094,1001,365.715999
-27.344297,1001,371.316283
-36.51404,1001,376.895102
-51.953095,1001,382.120801
-46.286892,1001,387.697426
-17.490084,1001,393.076479
-75.445051,1001,398.32342
-64.097145,1001,403.312231
-9.719654,1001,408.674762
-13.205096,1001,414.321856
-93.78743,1001,419.695113
-90.607709,1001,424.899263
-9.43141,1001,430.115545
-14.337641,1001,435.223735
-51.707704,1001,440.666102
-12.297151,1001,445.848158
-8.578835,1001,451.13139
-83.431028,1001,456.372494
-15.779489,1001,461.957298
-58.759682,1001,467.214303
-15.149371,1001,472.873215
-18.159579,1001,478.061534
-56.707606,1001,483.442248
-158.280099,1001,489.076635
-16.450433,1001,494.253939
-52.029843,1001,499.588512
-122.609104,1001,505.082249
-135.698599,1001,510.47981
-119.73797,1001,516.001498
-102.543658,1001,521.214054
-32.299054,1001,526.640237
-17.870728,1001,532.147251
-109.614273,1001,537.52732
-37.962836,1001,543.080518
-5.100572,1001,548.41425
-54.143568,1001,553.608271
-132.73252,1001,558.851577
-78.655001,1001,563.973221
-65.420676,1001,569.152292
-105.128078,1001,574.552191
-79.514982,1001,579.789176
-10.179648,1001,584.910309
-26.702401,1001,590.258479
-21.402149,1001,595.618109
-20.073229,1001,600.861825
-62.405579,1001,606.05845
-20.765343,1001,611.340687
-149.832999,1001,616.94279
-25.74294,1001,622.519907
-6.915211,1001,627.955253
-13.456496,1001,633.24884
-129.901785,1001,638.457811
-12.906203,1001,643.655549
-13.80952,1001,649.121491
-17.296622,1001,654.333622
-30.974417,1001,659.495286
-59.564992,1001,664.906392
-37.03752,1001,670.243576
-6.096174,1001,675.608366
-115.692716,1001,680.716397
-23.297438,1001,685.828797
-87.278895,1001,691.170724
-8.555342,1001,696.249916
-40.903499,1001,701.675467
-115.61218,1001,707.16146
-113.024597,1001,712.564873
-26.722289,1001,717.6931
-15.181678,1001,722.874068
-87.106809,1001,728.157353
-36.86235,1001,733.532528
-27.665822,1001,738.814534
-66.249315,1001,744.034668
-103.997393,1001,749.377985
-28.114505,1001,754.95303
-9.337745,1001,760.099111
-15.482173,1001,765.50532
-38.454707,1001,770.984987
-63.222302,1001,776.363688
-16.797999,1001,782.009741
-50.537374,1001,787.121972
-48.712263,1001,792.262029
-12.471694,1001,797.957165
-85.422528,1001,803.360569
-36.642103,1001,808.516094
-41.924484,1001,813.820217
-30.526873,1001,819.119066
-148.837074,1001,824.346287
-7.537214,1001,829.600452
-27.297801,1001,834.861462
-25.322253,1001,839.986536
-120.361691,1001,845.372483
-125.738125,1001,850.885349
-19.624889,1001,856.202535
-13.463286,1001,861.491757
-7.299133,1001,866.87652
-7.847025,1001,872.352144
-136.832954,1001,877.883191
-9.93763,1001,883.214982
-104.252101,1001,888.620129
-42.35094,1001,893.867254
-65.185287,1001,899.020986
-24.928888,1001,904.325408
-57.697993,1001,910.151518
-10.67669,1001,915.648629
-32.833064,1001,920.94329
-25.217266,1001,926.134371
-35.743174,1001,931.423244
-16.322415,1001,936.788245
-121.774242,1001,941.906516
-19.367134,1001,947.301236
-84.86418,1001,952.547498
-130.493319,1001,957.548265
-31.583031,1001,962.929538
-31.067899,1001,968.488488
-24.146383,1001,973.54752
-11.434953,1001,979.226776
-14.169473,1001,984.45284
-30.116817,1001,989.904082
-56.395559,1001,995.051285
-126.953217,1001,1000.323429
-20.590848,1001,1005.540351
-82.169253,1001,1011.438205
-65.224751,1001,1016.846435
-45.018279,1001,1021.857027
-14.019595,1001,1027.137532
-120.142233,1001,1032.215904
-69.551843,1001,1037.60556
-60.745448,1001,1042.738658
-130.420085,1001,1048.210399
-18.780804,1001,1053.650303
-10.671482,1001,1058.660808
-61.66957,1001,1064.007525
-20.842775,1001,1069.341036
-45.221641,1001,1074.515502
-21.859346,1001,1080.165741
-32.753709,1001,1085.514661
-13.585421,1001,1090.68513
-87.079394,1001,1096.060365
-37.830648,1001,1101.188591
-69.801824,1001,1106.387772
-41.65735,1001,1111.590654
-97.778219,1001,1116.961118
-50.390266,1001,1122.051098
-114.478244,1001,1127.983832
-47.90882,1001,1133.121691
-135.2001,1001,1138.2671
-48.429307,1001,1143.492859
-150.068595,1001,1148.632019
-9.824075,1001,1153.977994
-75.0981,1001,1159.611192
-72.540817,1001,1164.719024
-24.377381,1001,1169.911159
-50.133743,1001,1174.878135
-142.603712,1001,1179.983783
-29.343241,1001,1185.236516
-64.640629,1001,1190.305575
-85.25883,1001,1195.359441
-98.556161,1001,1200.605061
-39.031099,1001,1205.616837
-25.896419,1001,1210.94698
-25.64447,1001,1216.290019
-52.059163,1001,1221.330938
-16.426033,1001,1226.518172
-86.367355,1001,1231.672951
-10.202786,1001,1237.144598
-87.689082,1001,1242.286826
-108.491951,1001,1247.400512
-25.354826,1001,1252.554822
-23.616263,1001,1257.85217
-12.390923,1001,1263.144175
-42.509262,1001,1268.477398
-70.347649,1001,1274.042925
-141.289123,1001,1279.168761
-37.548532,1001,1284.232693
-88.217453,1001,1289.528403
-61.35557,1001,1294.635936
-90.044095,1001,1299.77085
-33.865862,1001,1304.95766
-28.888249,1001,1310.114346
-67.260127,1001,1315.39954
-16.901037,1001,1320.66855
-73.136293,1001,1325.917976
-39.269052,1001,1331.358093
-39.382818,1001,1336.400978
-55.542933,1001,1341.721653
-49.599751,1001,1347.070948
-65.251945,1001,1352.398163
-10.155572,1001,1357.596103
-25.156713,1001,1362.880055
-12.144739,1001,1368.158977
-19.236117,1001,1373.263242
-11.748109,1001,1378.341162
-15.806671,1001,1383.690645
-36.812666,1001,1388.935006
-79.712146,1001,1394.140858
-24.772802,1001,1399.472342
-3.480111,1001,1404.577131
-72.46185,1001,1409.773958
-77.48186,1001,1415.039991
-32.981196,1001,1420.180524
-53.398161,1001,1425.505586
-24.347159,1001,1430.762655
-25.683212,1001,1436.410815
-12.150904,1001,1441.870895
-20.768158,1001,1446.806251
-88.662042,1001,1451.866576
-40.658854,1001,1457.006831
-45.447582,1001,1462.335587
-7.122582,1001,1467.958842
-41.466595,1001,1473.155913
-84.631237,1001,1478.16128
-13.523428,1001,1483.539122
-32.6344,1001,1488.79754
-15.585336,1001,1493.87682
-8.375016,1001,1499.316274
-24.165339,1001,1504.263543
-7.338172,1001,1509.500997
-40.732654,1001,1514.608159
-43.013187,1001,1520.034697
-8.841599,1001,1525.407259
-82.470181,1001,1530.756101
-10.279174,1001,1535.886413
-12.178091,1001,1541.012019
-7.542702,1001,1546.377169
-5.687222,1001,1551.686883
-56.476885,1001,1556.694406
-6.288845,1001,1561.845479
-42.085858,1001,1567.404217
-26.983779,1001,1572.706125
-36.339773,1001,1578.278512
-22.449701,1001,1583.686845
-17.35374,1001,1589.100215
-38.793727,1001,1594.147226
-62.270602,1001,1599.52464
-10.802548,1001,1604.871047
-14.532133,1001,1610.040412
-31.444094,1001,1615.223538
-10.771708,1001,1620.492425
-89.91293,1001,1625.630612
-39.774382,1001,1630.802603
-22.017326,1001,1636.101399
-41.992401,1001,1641.010113
-80.919015,1001,1646.184357
-52.211818,1001,1651.34418
-36.377485,1001,1656.499553
-29.628172,1001,1661.930674
-27.038145,1001,1667.245214
-115.64715,1001,1672.78585
-56.129316,1001,1678.281452
-48.008999,1001,1683.523726
-12.672157,1001,1688.978868
-9.40037,1001,1694.140533
-10.415652,1001,1699.608772
-8.933962,1001,1704.70984
-23.567491,1001,1710.10527
-33.1925,1001,1715.468615
-31.53201,1001,1720.773445
-64.010516,1001,1725.932211
-11.245205,1001,1731.179472
-17.442372,1001,1736.336131
-69.210843,1001,1741.365796
-55.413242,1001,1746.733233
-25.343594,1001,1752.157561
-20.372722,1001,1757.441911
-82.087683,1001,1762.569353
-5.759689,1001,1767.686223
-10.763736,1001,1772.77832
-115.114552,1001,1777.943849
-77.850196,1001,1783.139042
-9.761026,1001,1788.232965
-4.722047,1001,1793.546203
-67.844879,1001,1798.734892
-6.792974,1001,1803.995647
-23.812089,1001,1809.288738
-18.836223,1001,1814.454399
-63.809917,1001,1819.750647
-106.84899,1001,1825.010607
-12.440766,1001,1830.327248
-34.129707,1001,1835.741741
-57.417864,1001,1840.853659
-10.504487,1001,1846.091774
-9.748992,1001,1851.225353
-9.205022,1001,1856.161787
-15.332947,1001,1861.279115
-126.640376,1001,1866.548271
-48.165454,1001,1871.665581
-25.947136,1001,1876.772638
-27.138538,1001,1882.017496
-23.13261,1001,1887.187575
-7.619236,1001,1892.516215
-80.845082,1001,1898.093955
-84.68682,1001,1903.248663
-20.208372,1001,1908.713037
-62.386165,1001,1913.821832
-53.312978,1001,1918.836309
-20.424245,1001,1924.161987
-50.754397,1001,1929.421448
-110.298965,1001,1934.585747
-15.004989,1001,1939.688513
-31.231488,1001,1945.007325
-112.506621,1001,1950.298306
-51.855246,1001,1955.859935
-16.583406,1001,1961.080311
-42.94637,1001,1966.352405
-78.525958,1001,1971.750085
-11.698496,1001,1976.983522
-6.990502,1001,1982.303532
-10.997088,1001,1987.436695
-9.211355,1001,1992.805902
-86.132197,1001,1998.14953
-27.821984,1001,2003.47049
-18.342853,1001,2008.837822
-42.914879,1001,2014.203244
-54.457773,1001,2019.509584
-16.731287,1001,2024.683696
-52.960542,1001,2029.734961
-142.378076,1001,2035.061563
-7.638514,1001,2040.284788
-60.585696,1001,2045.662894
-83.567803,1001,2051.029387
-29.433563,1001,2056.295538
-44.676523,1001,2061.398033
-5.757748,1001,2066.637585
-25.75874,1001,2072.262432
-11.374388,1001,2077.763929
-54.426174,1001,2082.823109
-104.943637,1001,2087.957667
-108.685715,1001,2093.256597
-60.254876,1001,2098.671143
-41.043765,1001,2103.966898
-62.655374,1001,2109.527419
-12.406865,1001,2114.714974
-38.357469,1001,2120.029773
-108.460592,1001,2125.447235
-21.027017,1001,2130.811607
-33.568071,1001,2135.98974
-72.596767,1001,2141.420877
-100.174499,1001,2146.641549
-21.963883,1001,2151.84512
-8.693811,1001,2157.198378
-121.947606,1001,2162.722635
-17.434962,1001,2168.363464
-15.599136,1001,2173.609526
-8.383238,1001,2178.973347
-5.403508,1001,2184.347186
-56.024564,1001,2189.548342
-34.269745,1001,2194.740801
-68.049494,1001,2200.467616
-68.964677,1001,2205.735538
-28.731994,1001,2211.143443
-11.683236,1001,2216.523573
-28.656485,1001,2221.689999
-110.089717,1001,2226.884676
-30.5186,1001,2232.328827
-10.941683,1001,2237.749121
-50.662434,1001,2243.311994
-72.306724,1001,2248.470271
-14.966119,1001,2254.092603
-19.368275,1001,2259.468205
-130.893593,1001,2265.120709
-67.935592,1001,2270.46394
-42.506424,1001,2275.978711
-85.141771,1001,2281.238453
-124.070817,1001,2286.630596
-33.885842,1001,2292.090125
-33.696794,1001,2297.380182
-26.823576,1001,2302.512685
-11.5038,1001,2307.82178
-27.869649,1001,2312.968045
-54.85704,1001,2318.274297
-70.39106,1001,2323.701289
-100.602826,1001,2328.915988
-39.706069,1001,2334.110484
-24.17834,1001,2339.428773
-113.991161,1001,2344.897906
-5.881227,1001,2350.569828
-41.247699,1001,2355.853068
-98.015273,1001,2361.200513
-63.427295,1001,2366.42152
-41.634658,1001,2371.93531
-46.145623,1001,2376.956547
-22.275908,1001,2382.124106
-51.604648,1001,2387.273036
-71.920271,1001,2392.57929
-54.242552,1001,2397.857851
-56.375241,1001,2403.091753
-55.245401,1001,2408.611391
-19.021344,1001,2414.099143
-5.6775,1001,2419.544385
-13.854145,1001,2424.823882
-38.60761,1001,2429.950234
-127.610735,1001,2435.302387
-46.143337,1001,2440.598693
-146.314117,1001,2445.804188
-68.017243,1001,2450.880103
-110.919719,1001,2456.19584
-33.018235,1001,2461.486342
-16.561925,1001,2466.898566
-29.430429,1001,2472.225257
-16.893125,1001,2477.423551
-12.187013,1001,2482.745624
-82.841883,1001,2488.066931
-69.798178,1001,2493.212568
-55.059041,1001,2498.52296
-39.075053,1001,2503.898031
-15.308674,1001,2509.45523
-83.951528,1001,2514.753532
-96.915959,1001,2520.067373
-21.781421,1001,2525.290698
-54.165229,1001,2530.625581
-112.71526,1001,2536.066237
-8.485234,1001,2541.504948
-63.598932,1001,2547.015645
-13.939333,1001,2552.38345
-35.130419,1001,2557.843555
-97.680203,1001,2563.177733
-8.821404,1001,2568.480541
-62.073636,1001,2573.64422
-36.934742,1001,2578.919267
-129.642175,1001,2584.076095
-28.554763,1001,2589.491081
-23.329758,1001,2594.849952
-15.366879,1001,2600.212327
-7.74276,1001,2605.572143
-155.259019,1001,2610.808061
-25.290966,1001,2616.010353
-22.766785,1001,2621.546014
-26.049503,1001,2627.345202
-34.452462,1001,2632.790433
-19.555526,1001,2638.251221
-12.382481,1001,2643.843316
-6.668574,1001,2649.108812
-15.510898,1001,2654.858523
-49.492586,1001,2660.274099
-7.018767,1001,2665.586587
-38.952561,1001,2670.988837
-58.909125,1001,2676.196191
-119.798895,1001,2681.53426
-12.023682,1001,2686.651829
-20.207487,1001,2691.907663
-44.678468,1001,2697.250034
-4.301245,1001,2702.852639
-50.624935,1001,2708.018858
-21.08618,1001,2713.25696
-52.018273,1001,2718.903934
-14.496595,1001,2724.049741
-8.833558,1001,2729.404029
-121.14826,1001,2734.712376
-68.399605,1001,2740.011408
-10.375374,1001,2745.384828
-67.775411,1001,2750.545265
-31.165531,1001,2755.698484
-10.911317,1001,2761.141654
-18.010342,1001,2766.54641
-50.634635,1001,2772.043963
-54.654134,1001,2777.396667
-14.151906,1001,2782.5575
-13.418718,1001,2788.047438
-34.507907,1001,2793.562535
-16.181163,1001,2798.764535
-126.346443,1001,2804.055831
-20.260693,1001,2809.189009
-33.861812,1001,2814.462733
-32.85411,1001,2819.835989
-8.903678,1001,2825.219292
-87.66003,1001,2830.421574
-35.931932,1001,2835.588236
-116.058177,1001,2841.246208
-18.821846,1001,2846.350903
-8.582338,1001,2851.704726
-17.074988,1001,2856.991404
-32.86745,1001,2862.214758
-33.049271,1001,2867.601326
-121.980376,1001,2872.742548
-28.205537,1001,2878.173821
-84.438639,1001,2883.181097
-6.700279,1001,2888.933643
-31.519752,1001,2894.232259
-110.732711,1001,2899.58516
-29.399656,1001,2904.870596
-28.485739,1001,2910.142695
-76.99977,1001,2915.510909
-39.575383,1001,2920.999492
-17.660636,1001,2926.451222
-12.915091,1001,2931.931887
-64.736166,1001,2937.242406
-9.747374,1001,2942.510812
-73.268053,1001,2947.755533
-14.331543,1001,2953.226834
-79.634132,1001,2958.643131
-9.305531,1001,2964.103714
-18.379413,1001,2969.550373
-37.853789,1001,2974.790256
-39.398672,1001,2980.059375
-101.419815,1001,2985.192892
-23.921968,1001,2990.451372
-48.129606,1001,2995.680988
-18.866093,1001,3001.119481
-30.896246,1001,3006.170072
-50.607075,1001,3011.352025
-28.747606,1001,3016.678638
-115.246814,1001,3021.969777
-22.426567,1001,3027.481937
-40.562487,1001,3032.708524
-89.763207,1001,3038.077123
-43.288972,1001,3043.316003
-62.712912,1001,3048.776066
-43.865547,1001,3054.112557
-10.991387,1001,3059.443529
-24.064531,1001,3064.556895
-24.152225,1001,3069.733927
-40.136765,1001,3075.046835
-96.586261,1001,3080.157482
-21.307856,1001,3085.598615
-34.405698,1001,3091.057173
-111.937477,1001,3096.389163
-28.048045,1001,3101.787569
-23.200358,1001,3107.185107
-24.391869,1001,3112.579064
-43.36982,1001,3117.772072
-24.284156,1001,3123.144596
-54.503436,1001,3128.217687
-14.753417,1001,3133.642262
-60.684836,1001,3139.095194
-31.852124,1001,3144.646101
-18.471833,1001,3149.990849
-65.090559,1001,3155.288917
-130.400897,1001,3160.63469
-16.761602,1001,3166.269465
-49.177627,1001,3171.718531
-55.932342,1001,3177.077344
-54.302958,1001,3182.507484
-13.903442,1001,3187.815431
-100.433164,1001,3193.162571
-5.896332,1001,3198.350342
-118.871668,1001,3203.637584
-18.405855,1001,3208.776522
-101.810086,1001,3214.308688
-8.518004,1001,3219.646156
-11.973354,1001,3224.984633
-16.844559,1001,3230.401436
-11.792744,1001,3235.828356
-37.676843,1001,3241.193831
-15.063236,1001,3246.480843
-130.344355,1001,3251.646111
-127.858896,1001,3257.134125
-21.492649,1001,3262.547204
-55.194321,1001,3267.866629
-16.235716,1001,3273.044548
-38.539645,1001,3278.424803
-118.447558,1001,3283.847279
-9.751833,1001,3289.044471
-12.973596,1001,3294.822585
-56.27667,1001,3300.380523
-38.565424,1001,3305.592352
-38.030949,1001,3310.923033
-36.298961,1001,3316.012278
-41.290268,1001,3321.677302
-15.364425,1001,3327.041151
-19.534784,1001,3332.597608
-23.91464,1001,3337.938171
-59.995877,1001,3343.197621
-13.129284,1001,3348.515836
-29.231669,1001,3353.987147
-36.913552,1001,3359.160426
-95.943747,1001,3364.299278
-18.34899,1001,3369.289414
-18.459867,1001,3374.467357
-35.76444,1001,3380.457152
-70.755838,1001,3385.886223
-86.230479,1001,3391.110157
-38.680507,1001,3396.639432
-30.563995,1001,3402.202866
-32.332075,1001,3407.530195
-120.329263,1001,3413.260402
-63.038058,1001,3418.475143
-88.168497,1001,3423.768525
-10.116833,1001,3429.13985
-22.342233,1001,3434.54006
-28.342202,1001,3439.95975
-125.306164,1001,3445.231193
-68.208337,1001,3450.448641
-126.461115,1001,3455.903701
-11.671611,1001,3461.380404
-18.572536,1001,3467.507406
-58.59258,1001,3472.880227
-11.237013,1001,3478.152903
-19.859913,1001,3483.32608
-24.206363,1001,3488.710908
-95.096557,1001,3494.447912
-14.08537,1001,3499.802174
-51.24087,1001,3505.173176
-14.830298,1001,3510.438306
-17.270087,1001,3515.786152
-47.972857,1001,3521.202865
-93.643578,1001,3526.595483
-109.572438,1001,3531.876807
-53.198291,1001,3537.782792
-124.059032,1001,3543.333512
-14.794875,1001,3548.533886
-90.117477,1001,3553.906371
-91.978538,1001,3559.059532
-55.84849,1001,3564.327432
-22.100278,1001,3569.869922
-53.584801,1001,3575.041243
-32.573261,1001,3580.575037
-9.887555,1001,3585.905721
