#{"t_start": 1567214236.4178653, "env_id": null}
r,l,t
-1628.421877,1001,5.084614
-1468.683658,1001,7.951576
-1153.809418,1001,10.837694
-2014.404057,1001,13.727687
-1534.294543,1001,16.6291
-1764.029625,1001,19.522205
-2230.954439,1001,22.407685
-2087.646795,1001,25.278988
-1586.470557,1001,28.162086
-1926.197517,1001,31.039843
-1071.966375,1001,33.933286
-1827.803528,1001,36.834603
-1851.977234,1001,39.726723
-1978.395504,1001,42.633173
-1719.060106,1001,45.522386
-1744.495733,1001,48.422433
-858.316088,1001,51.323645
-1924.642391,1001,54.217653
-2223.121799,1001,57.104753
-1111.282264,1001,60.00171
-1141.259417,1001,62.900869
-1455.83168,1001,65.798404
-1262.746163,1001,68.678007
-2289.824254,1001,71.563484
-1214.795862,1001,74.448545
-1358.588439,1001,77.34888
-2129.341512,1001,80.243847
-1507.786106,1001,83.122816
-1392.315148,1001,86.008949
-2082.763262,1001,88.912648
-2004.978733,1001,91.807921
-2046.29251,1001,94.688545
-1799.608101,1001,97.588538
-2106.469818,1001,100.474407
-1694.54945,1001,103.365642
-1863.265024,1001,106.261266
-2000.541992,1001,109.154738
-1062.414509,1001,112.055118
-1850.425581,1001,114.938678
-1871.003098,1001,117.829649
-2088.957061,1001,120.726384
-1152.458572,1001,123.610597
-1161.941415,1001,126.502451
-1807.755042,1001,129.420558
-1523.487613,1001,132.308183
-1767.683077,1001,135.196832
-2159.347715,1001,138.070325
-2577.008603,1001,140.974992
-1232.823272,1001,143.871136
-2125.825587,1001,146.764929
-2446.212645,1001,149.65626
-1863.223473,1001,152.535109
-1959.340058,1001,155.424945
-2186.785678,1001,158.308682
-2087.502607,1001,161.198808
-1819.928704,1001,164.099073
-847.397895,1001,166.997875
-1857.694509,1001,169.904611
-957.389872,1001,172.805462
-1197.244716,1001,175.677412
-1318.375367,1001,178.567451
-1776.10223,1001,181.461168
-1453.312536,1001,184.387389
-1029.342348,1001,187.300298
-1404.804262,1001,190.242454
-1609.834404,1001,193.12359
-2345.815059,1001,196.013173
-1621.658705,1001,198.8924
-1490.450191,1001,201.78798
-1623.67371,1001,204.675194
-2313.34144,1001,207.567325
-1750.478556,1001,210.429883
-1114.851405,1001,213.34579
-1325.421156,1001,216.224868
-2109.858254,1001,219.131936
-1684.691074,1001,222.027902
-1159.426339,1001,224.907505
-1982.426129,1001,227.825693
-1870.386006,1001,230.712668
-2258.598591,1001,233.608815
-1795.756677,1001,236.506583
-2578.132177,1001,239.384619
-1655.633388,1001,242.286406
-1741.035699,1001,245.177408
-1844.177658,1001,248.068499
-1670.24002,1001,250.998217
-1505.737243,1001,253.888109
-2030.291807,1001,256.780612
-1916.664867,1001,259.674273
-2445.605651,1001,262.579611
-1728.677369,1001,265.47054
-2461.674429,1001,268.360774
-1408.766352,1001,271.262472
-2089.848517,1001,274.131415
-2142.986082,1001,277.052719
-1897.269665,1001,279.94328
-1486.255329,1001,282.833033
-2505.471267,1001,285.719549
-2132.883146,1001,288.618409
-2304.212795,1001,291.513829
-1856.493724,1001,294.405909
-1022.41408,1001,297.28486
-1480.005434,1001,300.203337
-2139.733432,1001,303.090097
-1500.057928,1001,305.970226
-1481.352944,1001,308.853419
-1079.463699,1001,311.770423
-1954.424735,1001,314.666088
-1427.304092,1001,317.56915
-1132.282031,1001,320.45774
-1301.762975,1001,323.34044
-1932.576363,1001,326.227513
-1082.842163,1001,329.116123
-975.506183,1001,332.001052
-1505.439185,1001,334.886739
-1725.17915,1001,337.759074
-1154.716708,1001,340.645966
-1432.633959,1001,343.567567
-1708.768674,1001,346.485106
-1650.892567,1001,349.391296
-1535.44323,1001,352.299654
-1874.290291,1001,355.196292
-977.376738,1001,358.090326
-2047.310936,1001,361.003528
-2181.44698,1001,363.914759
-1313.336964,1001,366.80453
-1221.798815,1001,369.695155
-2214.137008,1001,372.585801
-2220.278535,1001,375.489988
-1975.150373,1001,378.373127
-2082.686377,1001,381.278009
-1954.066142,1001,384.164209
-2418.400638,1001,387.072009
-2393.876607,1001,389.979484
-1235.675343,1001,392.890022
-1570.579074,1001,395.780693
-1508.48637,1001,398.675732
-1677.584836,1001,401.561188
-1656.97056,1001,404.460787
-2127.551125,1001,407.371512
-1301.063372,1001,410.264787
-1323.396414,1001,413.146181
-2503.623511,1001,416.05274
-2312.509851,1001,418.959602
-1789.843274,1001,421.832924
-1638.243345,1001,424.712435
-1506.128633,1001,427.607021
-1572.173689,1001,430.512682
-1582.312057,1001,433.421998
-1417.207008,1001,436.333714
-1230.068879,1001,439.240392
-1601.013059,1001,442.140333
-1650.336826,1001,445.032385
-1282.317827,1001,447.939394
-1753.761448,1001,450.830998
-823.303948,1001,453.7392
-1250.394437,1001,456.643077
-1865.104827,1001,459.54584
-1678.98703,1001,462.44791
-2314.893881,1001,465.337652
-947.085129,1001,468.259679
-1488.056795,1001,471.151349
-1945.822907,1001,474.038414
-1790.540209,1001,476.925568
-1921.954357,1001,479.810437
-1245.666376,1001,482.695333
-1734.307592,1001,485.579591
-1829.791192,1001,488.480001
-2116.902179,1001,491.39147
-1815.17136,1001,494.284436
-1605.47843,1001,497.185688
-2387.503184,1001,500.075158
-1393.811683,1001,502.953549
-1920.394118,1001,505.849742
-2028.004675,1001,508.751335
-2006.361864,1001,511.649437
-2183.061654,1001,514.544404
-2621.183839,1001,517.464933
-1476.536328,1001,520.377242
-1679.682144,1001,523.302403
-958.418532,1001,526.192383
-2015.706998,1001,529.097965
-989.663681,1001,532.009869
-1868.371277,1001,534.928047
-1721.168948,1001,537.816286
-1912.921324,1001,540.709779
-1303.262608,1001,543.58577
-1491.490068,1001,546.487541
-1653.651009,1001,549.387575
-1137.747212,1001,552.281507
-1987.03544,1001,555.185436
-1827.996418,1001,558.075012
-2105.460068,1001,560.97496
-2550.109499,1001,563.876164
-1534.34527,1001,566.797496
-2329.949713,1001,569.715874
-2116.717295,1001,572.64243
-1760.960904,1001,575.543103
-1934.35122,1001,578.445053
-1276.155762,1001,581.349936
-1127.47533,1001,584.262061
-1194.54908,1001,587.151015
-1629.184118,1001,590.068139
-1652.25086,1001,592.964503
-1775.708972,1001,595.864666
-2252.750421,1001,598.763958
-1467.075855,1001,601.685824
-1874.855946,1001,604.589054
-2397.985091,1001,607.473146
-2017.631027,1001,610.367122
-1835.11241,1001,613.27336
-1934.120701,1001,616.219887
-1165.17299,1001,619.12014
-2135.535595,1001,622.005098
-2570.245239,1001,624.90705
-1314.75226,1001,627.809437
-2620.906718,1001,630.697207
-1975.9755,1001,633.597462
-1539.151601,1001,636.497332
-1809.810941,1001,639.374502
-1738.215869,1001,642.262439
-1473.72901,1001,645.178575
-1771.459658,1001,648.089577
-1875.573491,1001,650.991518
-1925.992317,1001,653.890568
-1799.848126,1001,656.791199
-1457.426689,1001,659.682044
-1295.59011,1001,662.578409
-1281.124701,1001,665.478729
-1644.077005,1001,668.379324
-1022.405157,1001,671.278963
-1810.647531,1001,674.182001
-1333.423633,1001,677.074307
-1551.766372,1001,679.98134
-1919.94175,1001,682.874206
-2119.552969,1001,685.790783
-2016.549882,1001,688.701975
-1152.917464,1001,691.608283
-1715.034706,1001,694.521328
-1172.34375,1001,697.44805
-2288.816706,1001,700.351867
-1397.88267,1001,703.241459
-1598.818791,1001,706.141881
-2467.321314,1001,709.03857
-930.74419,1001,711.931955
-1354.222294,1001,714.837767
