#{"t_start": 1567553703.6782374, "env_id": null}
r,l,t
-1010.51049,1001,3.263702
-1323.992403,1001,5.648545
-2079.076354,1001,8.03852
-1680.311853,1001,10.489857
-1366.247909,1001,12.881833
-1365.325792,1001,15.311729
-1728.826865,1001,17.675045
-1430.508895,1001,20.070004
-1483.186418,1001,22.493726
-1618.512724,1001,24.896048
-1623.99746,1001,27.231846
-1337.815518,1001,29.631563
-827.999974,1001,31.976644
-1596.178375,1001,34.380374
-991.322866,1001,36.74495
-1027.433257,1001,39.099142
-1142.205275,1001,41.462969
-535.569033,1001,43.816536
-1040.535275,1001,46.195381
-779.607391,1001,48.63294
-805.675172,1001,51.081619
-490.041617,1001,53.454657
-283.604633,1001,55.791137
-834.851675,1001,58.173608
-1051.52725,1001,60.581917
-1369.061826,1001,62.955285
-1434.912389,1001,65.350187
-705.816993,1001,67.764883
-1046.437929,1001,70.131364
-1160.20485,1001,72.508607
-373.815558,1001,74.908038
-555.466937,1001,77.324117
-1228.44218,1001,79.699086
-1189.743782,1001,82.121745
-608.379759,1001,84.491108
-1197.034182,1001,86.843479
-614.763874,1001,89.23701
-1266.494123,1001,91.620621
-895.603565,1001,93.98057
-477.419641,1001,96.384731
-599.814024,1001,98.764158
-251.891365,1001,101.156454
-579.207037,1001,103.520765
-711.613409,1001,105.899828
-368.145819,1001,108.307976
-1164.863293,1001,110.697222
-970.753238,1001,113.071767
-768.070822,1001,115.450357
-529.117312,1001,117.870927
-729.816132,1001,120.288573
-578.902012,1001,122.690903
-509.503725,1001,125.053958
-647.62035,1001,127.44633
-445.837819,1001,129.900286
-704.229621,1001,132.278788
-481.738145,1001,134.692813
-684.024662,1001,137.101668
-642.497816,1001,139.510895
-504.163638,1001,141.954221
-472.063674,1001,144.366826
-809.786729,1001,146.771619
-328.832854,1001,149.188124
-637.106424,1001,151.602343
-1172.809547,1001,154.011855
-664.906484,1001,156.485398
-592.42248,1001,158.921817
-303.573168,1001,161.341918
-495.828046,1001,163.714657
-901.937272,1001,166.091365
-588.917513,1001,168.498086
-458.662464,1001,170.930931
-453.465449,1001,173.381755
-645.427133,1001,175.826644
-350.468938,1001,178.243956
-862.065223,1001,180.710183
-844.233346,1001,183.163439
-310.201042,1001,185.592032
-227.158316,1001,188.017143
-444.917325,1001,190.445399
-428.899756,1001,192.905319
-576.505612,1001,195.282613
-547.31967,1001,197.79472
-664.403921,1001,200.198179
-612.92316,1001,202.714128
-821.16793,1001,205.149467
-467.340837,1001,207.589588
-244.414217,1001,209.988584
-265.654678,1001,212.418938
-419.54419,1001,214.860648
-594.079803,1001,217.261947
-299.319851,1001,219.638502
-345.446767,1001,222.043713
-459.909307,1001,224.42879
-252.704751,1001,226.795224
-524.278416,1001,229.165148
-527.170418,1001,231.566255
-593.645828,1001,233.943383
-235.285571,1001,236.371576
-370.023168,1001,238.769905
-353.320432,1001,241.202299
-647.362218,1001,243.612722
-476.12326,1001,246.012751
-392.000653,1001,248.414881
-487.236532,1001,250.827161
-261.391647,1001,253.219338
-215.711997,1001,255.62353
-252.918078,1001,258.023262
-397.335942,1001,260.493389
-264.928295,1001,262.946488
-528.461906,1001,265.391438
-221.835903,1001,267.827943
-397.61344,1001,270.262391
-479.427106,1001,272.704754
-426.096968,1001,275.126028
-482.931101,1001,277.564446
-233.902049,1001,279.989141
-552.679985,1001,282.367063
-362.848583,1001,284.763531
-437.850323,1001,287.161942
-558.955598,1001,289.571467
-358.363581,1001,291.981465
-392.429943,1001,294.411318
-436.068845,1001,296.842949
-690.252547,1001,299.281317
-370.873879,1001,301.730481
-435.205395,1001,304.162458
-443.106218,1001,306.596461
-544.194806,1001,309.04479
-379.083166,1001,311.538419
-377.235149,1001,313.919821
-306.77241,1001,316.390353
-536.098541,1001,318.823835
-238.467293,1001,321.223907
-343.255542,1001,323.713023
-254.587541,1001,326.17568
-299.768199,1001,328.600321
-232.020467,1001,331.006881
-468.537888,1001,333.387242
-393.446329,1001,335.811245
-663.411754,1001,338.186788
-403.068342,1001,340.608459
-484.383549,1001,343.014138
-385.564833,1001,345.40231
-433.41507,1001,347.781623
-387.288665,1001,350.173639
-287.982796,1001,352.647363
-496.73476,1001,355.138332
-232.897505,1001,357.514961
-316.284288,1001,359.962924
-406.423701,1001,362.358067
-432.103635,1001,364.770572
-591.138701,1001,367.223545
-569.572695,1001,369.652653
-289.645399,1001,372.163573
-397.330276,1001,374.566815
-365.065196,1001,377.058767
-394.149142,1001,379.448197
-280.716289,1001,381.877699
-347.876309,1001,384.32233
-343.845554,1001,386.740816
-415.289969,1001,389.14259
-328.902404,1001,391.632339
-333.029195,1001,394.033217
-405.849466,1001,396.426822
-357.06863,1001,398.808797
-317.019801,1001,401.215949
-430.742773,1001,403.605755
-316.317658,1001,406.041097
-420.37991,1001,408.40571
-370.113824,1001,410.802453
-364.9007,1001,413.274303
-362.001204,1001,415.696687
-534.916384,1001,418.125455
-271.896902,1001,420.538018
-318.60693,1001,423.004867
-400.329224,1001,425.418234
-292.37811,1001,427.822836
-426.368288,1001,430.226607
-322.333547,1001,432.638092
-312.366949,1001,435.068299
-394.544253,1001,437.488848
-470.750465,1001,439.970992
-376.180955,1001,442.442687
-346.181064,1001,444.863538
-464.469122,1001,447.302487
-307.436553,1001,449.740746
-615.907811,1001,452.243847
-510.188501,1001,454.626548
-281.901578,1001,457.023845
-513.867923,1001,459.433656
-394.230883,1001,461.867712
-223.629705,1001,464.245161
-289.985609,1001,466.70678
-561.460448,1001,469.106013
-529.583575,1001,471.57331
-269.408534,1001,474.011433
-244.52504,1001,476.483321
-436.735879,1001,478.923055
-322.355603,1001,481.389652
-211.760913,1001,483.855103
-358.329167,1001,486.304089
-429.322326,1001,488.733634
-357.287386,1001,491.236904
-372.182996,1001,493.633213
-627.824178,1001,496.112607
-364.233122,1001,498.514511
-291.162165,1001,500.926341
-288.247992,1001,503.443866
-358.887848,1001,505.897874
-321.120616,1001,508.303176
