#{"t_start": 1567215687.3803139, "env_id": null}
r,l,t
-1927.840673,1001,5.088502
-1256.080378,1001,7.976002
-1608.145699,1001,10.873213
-1297.935229,1001,13.771888
-1371.534597,1001,16.65645
-1369.843143,1001,19.547947
-1244.12512,1001,22.460747
-1395.237896,1001,25.346177
-1895.811452,1001,28.253172
-1692.324566,1001,31.138282
-1882.986965,1001,34.045494
-944.766785,1001,36.979191
-1911.586258,1001,39.887609
-1126.88451,1001,42.796591
-1165.570587,1001,45.685785
-1965.217239,1001,48.58668
-2321.106794,1001,51.485697
-1025.455827,1001,54.369017
-2041.058209,1001,57.274341
-1909.400952,1001,60.145585
-1945.573202,1001,63.042349
-1116.30505,1001,65.947287
-1896.63103,1001,68.834144
-1615.698447,1001,71.74312
-1337.538957,1001,74.617516
-1906.898118,1001,77.519757
-2291.131425,1001,80.405087
-1760.351357,1001,83.304098
-1271.676301,1001,86.197441
-1628.194533,1001,89.084853
-1354.547269,1001,91.97522
-1342.711115,1001,94.872768
-1476.53884,1001,97.772111
-1440.775375,1001,100.667509
-1093.669664,1001,103.558914
-1789.714722,1001,106.452272
-1754.076752,1001,109.366436
-1205.018659,1001,112.274394
-1869.113719,1001,115.166224
-1312.126849,1001,118.055056
-1282.347183,1001,120.956925
-1457.427202,1001,123.849018
-1528.967209,1001,126.764016
-2098.032729,1001,129.647599
-1431.646335,1001,132.563048
-1029.035427,1001,135.476786
-1498.071822,1001,138.373981
-1579.916787,1001,141.287452
-1876.989363,1001,144.185852
-2601.814143,1001,147.080235
-1474.479632,1001,149.996695
-2082.713565,1001,152.892642
-1426.074604,1001,155.818358
-1852.989673,1001,158.708883
-1580.141706,1001,161.598193
-1865.260568,1001,164.501532
-1501.472794,1001,167.412049
-1817.54056,1001,170.328393
-1723.922117,1001,173.219584
-1714.660115,1001,176.131277
-2242.920622,1001,179.026138
-1270.08616,1001,181.940041
-2304.83433,1001,184.837536
-1090.796838,1001,187.756264
-1855.74429,1001,190.650804
-1943.847397,1001,193.540368
-886.834197,1001,196.429839
-1149.393816,1001,199.333599
-1173.488595,1001,202.231252
-2498.734956,1001,205.11605
-1975.043387,1001,208.013225
-2402.106593,1001,210.888311
-1398.948717,1001,213.797578
-1423.957413,1001,216.704438
-1180.372237,1001,219.628822
-1468.655588,1001,222.530864
-1619.871707,1001,225.435741
-1435.829768,1001,228.344308
-1525.749079,1001,231.26267
-1111.833881,1001,234.16625
-1748.874754,1001,237.083977
-1900.665376,1001,239.977679
-1206.897384,1001,242.891237
-1023.591883,1001,245.818731
-1549.811965,1001,248.710871
-1414.658873,1001,251.597481
-2327.925223,1001,254.501043
-1670.444085,1001,257.372697
-1723.920739,1001,260.276804
-1754.467486,1001,263.172311
-1690.130595,1001,266.061334
-1924.143851,1001,268.967107
-1935.061118,1001,271.867227
-1560.325852,1001,274.769568
-1932.543051,1001,277.662945
-2275.803542,1001,280.562173
-1154.778898,1001,283.469095
-1378.549179,1001,286.352144
-2228.532639,1001,289.256795
-1454.299464,1001,292.168096
-1736.940995,1001,295.070523
-1275.777169,1001,297.978076
-1573.489211,1001,300.878195
-1936.117128,1001,303.796216
-2051.940221,1001,306.703814
-1211.637424,1001,309.614149
-1506.812111,1001,312.508133
-1520.137632,1001,315.408501
-1175.030031,1001,318.320636
-1716.963413,1001,321.2314
-1639.457947,1001,324.13809
-1520.293675,1001,327.042743
-1749.892869,1001,329.949182
-1602.669078,1001,332.836675
-1879.686708,1001,335.749092
-1645.511553,1001,338.64803
-1717.859555,1001,341.583233
-1887.121862,1001,344.471503
-1882.62018,1001,347.38709
-1933.915732,1001,350.278309
-1984.823367,1001,353.208856
-1737.109585,1001,356.106772
-1514.510241,1001,359.019216
-2224.233549,1001,361.942868
-1992.76053,1001,364.853698
-1723.279489,1001,367.777347
-2116.036056,1001,370.685331
-1617.20456,1001,373.61901
-1866.541327,1001,376.524881
-2113.892037,1001,379.435712
-1335.389476,1001,382.363149
-1986.261814,1001,385.292688
-2051.459975,1001,388.226387
-1803.198826,1001,391.170035
-1870.91176,1001,394.079496
-1283.416714,1001,397.028131
-1316.92359,1001,399.96183
-1691.880027,1001,402.869182
-1476.860842,1001,405.7649
-1491.813015,1001,408.680215
-1653.500241,1001,411.592189
-1687.677916,1001,414.484287
-1114.843963,1001,417.397234
-1320.150706,1001,420.283699
-1571.115852,1001,423.195054
-896.742909,1001,426.09787
-1333.858671,1001,428.980091
-1710.112241,1001,431.893647
-1561.025674,1001,434.825843
-2047.414985,1001,437.736321
-1548.42946,1001,440.659901
-1966.938671,1001,443.557065
-2011.310061,1001,446.471495
-1181.04094,1001,449.393951
-1740.854073,1001,452.335667
-1776.513352,1001,455.254063
-1595.567293,1001,458.188788
-1749.934357,1001,461.09266
-1542.119168,1001,463.978969
-1767.473607,1001,466.880622
-1754.125083,1001,469.801766
-2370.705087,1001,472.727272
-2054.599483,1001,475.617021
-2358.307607,1001,478.527707
-2000.270827,1001,481.440826
-1405.548335,1001,484.371788
-1482.705664,1001,487.268651
-1536.138008,1001,490.177436
-1803.53998,1001,493.078287
-1505.127308,1001,496.025481
-1085.144327,1001,498.939212
-1639.026215,1001,501.862291
-1787.405979,1001,504.77301
-1598.167718,1001,507.698929
-2014.632271,1001,510.614961
-2173.53724,1001,513.550342
-1213.243526,1001,516.445319
-1669.035785,1001,519.348424
-1030.931245,1001,522.247553
-1204.420396,1001,525.132076
-1672.238204,1001,528.05798
-1004.985711,1001,530.947156
-1173.234924,1001,533.863453
-1497.555007,1001,536.768808
-2161.249112,1001,539.691124
-1455.25199,1001,542.581055
-1348.691119,1001,545.534064
-1687.948651,1001,548.421885
-1383.477743,1001,551.322683
-1652.837259,1001,554.239504
-1459.145583,1001,557.16818
-1796.97577,1001,560.074381
-1409.271022,1001,562.989007
-1607.108612,1001,565.873363
-908.181607,1001,568.793994
-1277.204408,1001,571.691393
-1670.400819,1001,574.589021
-1930.453742,1001,577.513707
-1772.085969,1001,580.409977
-1305.74447,1001,583.314049
-1348.199187,1001,586.215324
-1001.319759,1001,589.134582
-1561.245446,1001,592.040138
-2222.856294,1001,594.9623
-1089.787226,1001,597.863537
-1714.086105,1001,600.767645
-1345.295237,1001,603.680679
-2225.052766,1001,606.591274
-2225.313432,1001,609.474216
-1352.308886,1001,612.386815
-1636.570387,1001,615.314257
-2028.067487,1001,618.200845
-1673.800546,1001,621.099396
-1752.548849,1001,624.010227
-1697.645739,1001,626.911042
-2137.048258,1001,629.806962
-1477.280864,1001,632.737337
-1379.550932,1001,635.643604
-974.159445,1001,638.539395
-2233.315652,1001,641.441365
-1891.432561,1001,644.351112
-1677.613527,1001,647.240956
-1519.008588,1001,650.164239
-1192.213437,1001,653.08886
-1841.171505,1001,656.009367
-1646.288065,1001,658.919428
-1901.787143,1001,661.855296
-1284.127463,1001,664.794588
-1519.864297,1001,667.707159
-2093.411181,1001,670.632939
-1534.420128,1001,673.551483
-1264.223022,1001,676.479492
-1021.862932,1001,679.376552
-2079.223918,1001,682.307126
-1696.653849,1001,685.209898
-1772.808196,1001,688.130882
-1699.695514,1001,691.052652
-2217.636191,1001,693.958194
-1162.874482,1001,696.867891
-1552.598482,1001,699.792067
-1828.566528,1001,702.685973
-2049.224938,1001,705.6141
-1184.363462,1001,708.517221
-1951.208829,1001,711.439562
-1938.009763,1001,714.34742
-1499.977621,1001,717.261961
-2380.462927,1001,720.159148
-1155.147548,1001,723.058969
-2203.814497,1001,726.003927
-1555.346877,1001,728.92341
-1368.546035,1001,731.839343
-1786.764144,1001,734.74083
-1185.50286,1001,737.684124
-1465.288349,1001,740.590776
-2101.707952,1001,743.491549
-1563.903745,1001,746.389802
-1911.65366,1001,749.309204
-1145.958407,1001,752.215386
-1859.36048,1001,755.171
-1296.592435,1001,758.075244
-1412.065646,1001,760.992491
-2240.893753,1001,763.883129
-1578.103873,1001,766.784299
-1563.802271,1001,769.704229
-1290.114437,1001,772.617821
-1234.998451,1001,775.509624
-1671.736618,1001,778.417342
-1781.809874,1001,781.350911
-1814.496778,1001,784.246738
-1185.312892,1001,787.155396
-1402.720734,1001,790.071018
-1914.762287,1001,792.985705
-1569.892312,1001,795.869316
-1883.201031,1001,798.791174
-2106.357407,1001,801.67481
-1380.076567,1001,804.608188
-1944.352838,1001,807.526655
-2330.357842,1001,810.446923
-2043.190827,1001,813.373158
-1893.500107,1001,816.280354
-1528.825364,1001,819.185277
-1316.214449,1001,822.099204
-1471.418015,1001,825.018701
-1682.653124,1001,827.953103
-2105.784071,1001,830.857897
-1381.331494,1001,833.759585
-1720.263656,1001,836.664666
-1282.925287,1001,839.570198
-1581.760353,1001,842.505562
-1764.365429,1001,845.444769
-1319.821454,1001,848.364052
-1528.743858,1001,851.274254
-873.850386,1001,854.175982
-1564.734906,1001,857.077838
-1904.830185,1001,859.987686
-1363.169845,1001,862.903263
-2299.356376,1001,865.821192
-1960.637135,1001,868.727121
-2046.434912,1001,871.639263
-2152.659822,1001,874.539574
-1760.315092,1001,877.448934
-1418.837129,1001,880.347402
-1547.071008,1001,883.236422
-1483.733468,1001,886.133909
-1302.285567,1001,889.058965
-1084.658315,1001,891.975323
-1695.146445,1001,894.887946
-2388.218532,1001,897.77839
-1504.749042,1001,900.671737
-1565.989886,1001,903.579067
-2181.781829,1001,906.501465
-2016.6516,1001,909.414925
-1721.861818,1001,912.312012
-1671.892457,1001,915.255389
-1140.519352,1001,918.164862
-2431.803456,1001,921.071738
-1874.728062,1001,923.959446
-1605.421589,1001,926.873958
-2184.423944,1001,929.791827
-1993.380394,1001,932.700061
-1857.26634,1001,935.604865
-1676.039312,1001,938.502051
-2175.847333,1001,941.422317
-1251.31366,1001,944.343831
-1899.566832,1001,947.27493
