"z,y,force"
-0.12799023028588752,63.67810506660918,0
-1.1467743824497256,54.35693719661526,0
-4.880476198099983,41.87343953461356,0
-13.432843974505381,27.48262673804818,0
-28.441718722512068,12.51208221860933,0
-50.07974657778242,-1.7894440467800699,0
-75.9776341355542,-14.468632972822235,0
-102.07043122275982,-24.983424249613606,0
-114.208496224297,-30.277925291403413,0
-118.41841563152144,-32.43659507876798,0
-118.2870878439331,-32.14674544090158,0
-115.91709124390525,-29.629389058088012,0
-112.52128390517666,-25.25863930820792,0
-108.76231852811173,-19.50730242626365,0
-104.46177040134775,-12.899082377807265,0
-99.59643626773342,-5.9681002104893,0
-94.31062780158108,0.7801793005374525,0
-88.84696411876052,6.900770102212318,0
-83.44072944988741,12.031318156237235,0
-78.23906357435304,15.906405435214882,0
-73.28084994929897,18.365838528979864,0
-68.53184703720002,19.356775926712576,0
-63.94463796068098,18.929343459581403,0
-59.51150649071693,17.22588144061193,0
-55.289366849701544,14.464896651882924,0
-51.38993211791635,10.921252153836184,0
-47.942213784861664,6.903984954813217,0
-45.04521803299753,2.732878212273733,0
-42.731539766814215,-1.2849598066342625,0
-40.95570879020565,-4.87673469809999,0
-39.60901978554692,-7.821619132423392,0
-38.55213186826061,-9.963303054269625,0
-37.65226995071954,-11.216326789698462,0
-36.813107311691205,-11.566259027465689,0
-35.990164665277746,-11.064531815826028,0
-35.19008747201178,-9.819054491881907,0
-34.45667682189846,-7.981750738556642,0
-33.84940610297624,-5.734095116939679,0
-33.42124101766297,-3.2716959099459597,0
-33.20186971451268,-0.7890021208679984,0
-33.19016213029776,1.5347481346502243,0
-33.35652582983966,3.5473185503329447,0
-33.65287641904935,5.132123358068575,0
-34.02610123765691,6.213511202060537,0
-34.430652654985565,6.758519795511572,0
-34.836947020244374,6.775347763367292,0
-35.234047134542536,6.309035146257185,0
-35.62695708739915,5.434962723911688,0
-36.030233915120384,4.2508284973714625,0
-36.46028057493131,2.8677738389662712,0
-36.928620000793465,1.4013281797011858,0
-37.43780355785812,-0.03718547419935942,0
-37.98062528085652,-1.3482041555943167,0
-38.54229916849367,-2.449941653464786,0
-39.104498498342366,-3.2826292951311697,0
