"z,y,force"
-0.06506409840631085,21.76009521848768,0
-0.22960061958827158,19.605884375372792,0
-0.5856581096914846,16.653957855193543,0
-1.2451446708042302,13.125677912292272,0
-2.3059974809108597,9.252362529799244,0
-3.8276471198844777,5.262451750213999,0
-5.8182679136748225,1.3696150318859792,0
-8.233948059522833,-2.2374703821043282,0
-10.988195503672,-5.402924753222106,0
-13.968823486796788,-8.008666240447754,0
-17.058183075133,-9.976848355763462,0
-20.15224735486666,-11.269641513868713,0
-23.17452522852177,-11.886788478276285,0
-26.08245585317845,-11.861497743407751,0
-28.86612422524822,-11.25521737008808,0
-31.540986640972612,-10.1517268540142,0
-34.13728078648083,-8.650876624212252,0
-36.68890201196976,-6.862240900285517,0
-39.22402718064592,-4.898931491763828,0
-41.75895675242553,-2.871821226534328,0
-44.29573767101824,-0.8844210027588844,0
-46.82326476885146,0.9713831432378687,0
-49.32093087822409,2.618600384249223,0
-51.763524228152164,3.997283082374795,0
-54.12605077024292,5.065697204662251,0
-56.387491981627605,5.800542663257765,0
-58.53297528749991,6.196307188120186,0
-60.554312965422746,6.2638804487759225,0
-62.44922760662257,6.0285644148665956,0
-64.21976859807506,5.527620531100094,0
-65.87044585161453,4.80749734949417,0
-67.40651345875676,3.920883588396162,0
-68.83268440958844,2.9237293246576135,0
-70.15239573830135,1.8723704525469744,0
-71.36760448413045,0.8208780146921983,0
-72.47899789737879,-0.18126491877114342,0
-73.48645356566661,-1.0910754497682043,0
-74.38958321923872,-1.873508835219048,0
-75.18822659187839,-2.5024310092205106,0
-75.88281224353237,-2.9610999456753957,0
-76.47455348897431,-3.24216908048802,0
-76.96548904594903,-3.347250816348284,0
-77.35840356905062,-3.2860959189391976,0
-77.65667285223398,-3.0754584037260155,0
-77.86407611029973,-2.7377249346158377,0
-77.98460873282976,-2.2993926668417095,0
-78.02231797429846,-1.7894799491186382,0
-77.98117426486367,-1.237950649994746,0
-77.86498345831372,-0.6742255766382973,0
-77.67734029829816,-0.12584415672886498,0
-77.42161994697064,0.38267298003887107,0
-77.10100180081518,0.8307237884180557,0
-76.7185175809817,1.2022614841466044,0
-76.2771137271195,1.486166922649467,0
-75.77971701163067,1.6763618463111902,0
-75.22929224908452,1.7716763503565178,0
-74.62888239049848,1.775497211280784,0
-73.98162432553302,1.695231753663375,0
-73.2907379953411,1.5416276547244439,0
-72.55949125011452,1.3279924352385926,0
-71.79114735052727,1.0693574135768011,0
-70.98890518760166,0.7816297634626589,0
-70.15584348830284,0.4807732567171237,0
-69.29487921162342,0.18205359498710386,0
-68.40874724978485,-0.10062139633920943,0
-67.50000411128386,-0.3552426245733652,0
-66.57105349034384,-0.5721093480867351,0
-65.62418745812171,-0.7440976119106848,0
-64.66163431016575,-0.866785916706476,0
-63.68560334121883,-0.9384436400866877,0
-62.69831802272535,-0.9598937227254648,0
-61.70203185057902,-0.9342661195435726,0
-60.69902483376272,-0.8666623390238504,0
-59.691582400194314,-0.7637539621210514,0
-58.68196164205646,-0.6333393250646663,0
-57.67235174521716,-0.4838826083847402,0
-56.66483587874941,-0.32405849208158644,0
-55.661360819147916,-0.16232345264121487,0
-54.663718491521486,-0.006531864943835523,0
-53.67354095473576,0.13638847048261485,0
-52.692307725042184,0.26069071329613924,0
-51.72136223938057,0.3619867775160922,0
-50.76193305313903,0.4373461600387642,0
-49.815155175899825,0.48531728053473755,0
-48.8820876715202,0.5058767884558006,0
-47.963725044826646,0.500314764735347,0
-47.06100161402634,0.47106629037731396,0
-46.174789667718336,0.4215016785034673,0
